,Player,Age,Unnamed: 0,PLAYER,2023 TYPE,2023,2024 TYPE,2024,2025 TYPE,2025,2026 TYPE,2026,2027 TYPE,2027,CORE YEARS,TEAM
123,Ruthy Hebard,24,8,Ruthy Hebard,R,83194.0,RFA,,0,,0,,0,0,0,Chicago Sky
124,Sabrina Ionescu,25,6,Sabrina Ionescu,R,86701.0,RFA,,0,,0,,0,0,0,New York Liberty
125,Sam Thomas,23,13,Sam Thomas,TC,62285.0,Reserved,,0,,0,,0,0,0,Phoenix Mercury
126,Sami Whitcomb,34,4,Sami Whitcomb,V,142500.0,V,140000.0,UFA,,0,,0,0,0,Seattle Storm
127,Satou Sabally,24,4,Satou Sabally,R,86701.0,RFA,,0,,0,,0,0,0,Dallas Wings
128,Shakira Austin,22,8,Shakira Austin,U,73584.0,U,80943.0,OPT,91981.0,RFA,,0,0,0.0,Washington Mystics
129,Shatori Walker-Kimbrough,27,5,Shatori Walker-Kimbrough,V,95000.0,U,97850.0,UFA,,0,,0,0,0.0,Washington Mystics
130,Shey Peddy,34,8,Shey Peddy,TC,74305.0,UFA,,0,,0,,0,0,0,Phoenix Mercury
131,Skylar Diggins-Smith,32,1,Skylar Diggins-Smith,V,234350.0,UFA,,0,,0,,0,0,"2020, 2021, 2022, 2023",Phoenix Mercury
132,Sophie Cunningham,26,3,Sophie Cunningham,V,150000.0,V,154500.0,UFA,,0,,0,0,0,Phoenix Mercury
133,Stefanie Dolson,31,4,Stefanie Dolson,V,160000.0,UFA,,0,,0,,0,0,0,New York Liberty
134,Stephanie Jones,24,12,Stephanie Jones,TC,62285.0,Reserved,,0,,0,,0,0,0.0,Washington Mystics
135,Stephanie Talbot,28,15,Stephanie Talbot,Full Susp,,V,115000.0,UFA,,0,,0,0,0,Los Angeles Sparks
136,Sue Bird,42,12,Sue Bird,UFA,,0,,0,,0,,0,0,"2008, 2009",Seattle Storm
137,Sydney Colson,33,8,Sydney Colson,TC,74305.0,UFA,,0,,0,,0,0,0,Las Vegas Aces
138,Sylvia Fowles,37,14,Sylvia Fowles,UFA,,0,,0,,0,,0,0,"2015, 2016, 2017",Minnesota Lynx
139,Teaira McCowan,26,2,Teaira McCowan,V,190000.0,V,195700.0,V,201400.0,UFA,,0,0,0,Dallas Wings
140,Theresa Plaisance,30,5,Theresa Plaisance,U,90000.0,UFA,,0,,0,,0,0,0,Seattle Storm
141,Tianna Hawkins,32,6,Tianna Hawkins,TC,74305.0,UFA,,0,,0,,0,0,0.0,Washington Mystics
142,Tiffany Hayes,33,3,Tiffany Hayes,U,162477.0,UFA,,0,,0,,0,0,0,Connecticut Sun
143,Tiffany Mitchell,28,4,Tiffany Mitchell,V,135000.0,V,139050.0,UFA,,0,,0,0,0,Minnesota Lynx
144,Tina Charles,34,13,Tina Charles,UFA,,0,,0,,0,,0,0,"2018, 2019, 2020",Seattle Storm
145,Tyasha Harris,24,6,Tyasha Harris,R,83194.0,RFA,,0,,0,,0,0,0,Connecticut Sun
146,Veronica Burton,22,9,Veronica Burton,U,70609.0,U,77669.0,OPT,88261.0,RFA,,0,0,0,Dallas Wings
147,Victoria Vivians,28,2,Victoria Vivians,V,135000.0,V,137000.0,UFA,,0,,0,0,0.0,Indiana Fever
148,Yvonne Turner,35,6,Yvonne Turner,TC,74305.0,UFA,,0,,0,,0,0,0,Seattle Storm
