,PLAYER,2023 TYPE,2023,2024 TYPE,2024,2025 TYPE,2025,2026 TYPE,2026,2027 TYPE,2027,CORE YEARS,TEAM
3,Breanna Stewart ,V,"$175,000 ",UFA,0,0,0,0,0,0,0,0,New York Liberty
4,Stefanie Dolson,V,"$160,000 ",UFA,0,0,0,0,0,0,0,0,New York Liberty
5,Kayla Thornton ,V,"$109,716 ",UFA,0,0,0,0,0,0,0,0,New York Liberty
6,Sabrina Ionescu ,R,"$86,701 ",RFA,0,0,0,0,0,0,0,0,New York Liberty
7,Jocelyn Willoughby ,R,"$79,690 ",RFA,0,0,0,0,0,0,0,0,New York Liberty
8,Epiphanny Prince ,TC,"$74,305 ",UFA,0,0,0,0,0,0,0,0,New York Liberty
9,Nyara Sabally,D,"$71,300 ",U,"$72,727 ",U,"$79,999 ",OPT,"$90,908 ",RFA,0,0,New York Liberty
10,DiDi Richards ,U,"$69,053 ",OPT,"$78,469 ",RFA,0,0,0,0,0,0,New York Liberty
11,Sika Koné,D,"$62,285 ",U,"$63,532 ",U,"$66,710 ",OPT,"$76,240 ",RFA,0,0,New York Liberty
12,Han Xu,TC,"$62,285 ",Reserved,0,0,0,0,0,0,0,0,New York Liberty
13,Morgan Green,TC,"$62,285 ",Reserved,0,0,0,0,0,0,0,0,New York Liberty
14,Stephanie Mawuli,TC,"$62,285 ",Reserved,0,0,0,0,0,0,0,0,New York Liberty
15,Marine Johannès,TC,"$62,285 ",Reserved,0,0,0,0,0,0,0,0,New York Liberty
0,Diana Taurasi ,V,"$234,936 ",V,"$234,936 ",UFA,0,0,0,0,0,0,Phoenix Mercury
1,Skylar Diggins-Smith ,V,"$234,350 ",UFA,0,0,0,0,0,0,0,"2020, 2021, 2022, 2023",Phoenix Mercury
2,Brittney Griner ,V,"$165,100 ",UFA,0,0,0,0,0,0,0,"2020, 2021, 2022",Phoenix Mercury
3,Sophie Cunningham ,V,"$150,000 ",V,"$154,500 ",UFA,0,0,0,0,0,0,Phoenix Mercury
4,Brianna Turner ,V,"$150,000 ",V,"$150,000 ",UFA,0,0,0,0,0,0,Phoenix Mercury
5,Moriah Jefferson ,V,"$137,500 ",V,"$141,500 ",V,"$145,500 ",UFA,0,0,0,0,Phoenix Mercury
6,Michaela Onyenwere ,U,"$75,407 ",OPT,"$85,690 ",RFA,0,0,0,0,0,0,Phoenix Mercury
7,Megan Gustafson,TC,"$74,305 ",UFA,0,0,0,0,0,0,0,0,Phoenix Mercury
8,Shey Peddy ,TC,"$74,305 ",UFA,0,0,0,0,0,0,0,0,Phoenix Mercury
9,Sydney Wiese ,TC,"$74,305 ",UFA,0,0,0,0,0,0,0,0,Phoenix Mercury
10,Jennie Simms,TC,"$62,285 ",Reserved,0,0,0,0,0,0,0,0,Phoenix Mercury
11,Destiny Slocum ,TC,"$62,285 ",Reserved,0,0,0,0,0,0,0,0,Phoenix Mercury
12,Sug Sutton,TC,"$62,285 ",Reserved,0,0,0,0,0,0,0,0,Phoenix Mercury
13,Sam Thomas,TC,"$62,285 ",Reserved,0,0,0,0,0,0,0,0,Phoenix Mercury
0,Jewell Loyd ,V,"$234,936 ",UFA,0,0,0,0,0,0,0,"2022, 2023",Seattle Storm
1,Mercedes Russell ,V,"$160,000 ",V,"$160,000 ",UFA,0,0,0,0,0,0,Seattle Storm
